info_status,koi_period,koi_duration,koi_impact,koi_ror,koi_dor,koi_depth,koi_slogg,koi_srad,koi_smass,density_diff,Transit_shape
FP,39.8415229,8.79024,0.902,0.515495,42.1834,143680,3.946,2.07,1.38,26.92307692,1.417495
Confirmed,12.12401737,3.3091,0.029,0.024936,28.683,788.4,4.469,0.87,0.813,23.88663968,0.053936
FP,0.92225589,4.227,0.992,0.007939,1.042,33,4.114,1.485,1.046,3.448275862,0.999939
FP,44.18938922,6.8151,1.03,0.132398,23.36,4293.5,4.438,0.968,0.939,7.342995169,1.162398
FP,6.09406648,2.085,1.235,0.299764,9.11,3027,4.162,1.666,1.47,31.44654088,1.534764
FP,21.5135234,77.983,2.441,1.475099,2.6,1583.8,3.508,3.318,1.294,20,3.916099
FP,0.692807507,1.49242,1.196,0.425253,3.031,25338,4.438,1,1,0.8,1.621253
FP,1.89124738,4.697,0.452,0.018599,2.89,410,4.66,0.589,0.579,73.99435427,0.470599
FP,1.89127438,4.491,0.514,0.00538,2.872,32.3,3.663,3.46,2.01,51.02040816,0.51938
FP,1.891268461,8.24958,0.183,0.785578,3.29152,641910,3.642,4.662,3.471,70.58823529,0.968578
FP,1.89114441,8.724,1.088,0.095967,1.112,49.9,4.637,0.627,0.622,62.02933016,1.183967
FP,1.89125855,5.415,0.677,0.008015,2.15,67.9,4.41,0.927,0.805,25.12363996,0.685015
FP,1.8912501,7.648,1.24,0.270995,1.356,731,4.523,0.794,0.767,31.39686684,1.510995
FP,1.89124187,4.415,0.198,0.009199,3.295,105.8,4.474,0.927,0.933,8.027327071,0.207199
FP,1.89131005,5.687,1.035,0.052345,1.147,155.6,4.255,1.12,0.824,22.14650767,1.087345
FP,1.8913182,4.374,0.439,0.013008,3.09,202.3,4.627,0.633,0.618,63.0283135,0.452008
FP,1.89129881,5.294,0.699,0.008836,2.148,82,4.507,0.893,0.935,7.768469155,0.707836
FP,1.89117723,6.986,1.207,0.219581,1.263,176.2,2.66,6.86,0.784,50,1.426581
FP,52.884577,7.892,1.272,0.408862,31,11969,4.42,1.078,1.114,9.561304837,1.680862
FP,1.146934644,1.7247,0.405,0.014751,4.78,256.2,4.502,0.862,0.862,16.86478455,0.419751
FP,1.02087831,2.429,0.148,0.005259,3.248,33.4,4.337,1.106,0.968,4.05027933,0.153259
FP,1.429439352,2.424,1.298,0.363114,2.3,3367.1,4.223,1.371,1.147,12.13483146,1.661114
FP,2.858879267,2.3753,1.262,0.289833,2.77,644.5,2.501,16.274,3.063,100,1.551833
FP,2.85889907,1.465,0.936,0.008848,5.7,55.7,4.603,0.754,0.848,18.85743175,0.944848
FP,0.98041685,0.919,0.446,0.00954,7.41,105.7,4.572,0.722,0.71,41.94061506,0.45554
FP,18.384953,5.92,0.012,0.008867,23.95,92.9,4.214,1.401,1.172,14.08450704,0.020867
FP,66.713573,4.487,0.4916,0.007559,99.9,63.9,4.361,1.182,1.174,14.20534459,0.499159
Confirmed,2.539183147,2.4282,0.238,0.017724,7.93,382.1,4.35,1.062,0.921,9.362808843,0.255724
Confirmed,5.747711909,1.8923,0.575,0.026906,19.76,820.1,4.64,0.632,0.637,58.22433611,0.601906
Confirmed,42.5217006,5.723,0.495,0.024534,50.9,685.6,4.519,0.914,1.006,0.1517450683,0.519534
Confirmed,18.82744023,4.664,0.025,0.028791,31.72,1006.2,4.538,0.86,0.93,8.344733242,0.053791
FP,18.82744023,4.664,0.025,0.028791,31.72,1006.2,4.538,0.86,0.93,8.344733242,0.053791
FP,17.27929077,5.07591,0.496,0.384903,33.642,164310,4.623,0.658,0.663,51.99828105,0.880903
FP,2.821328194,5.02692,0.537,0.243233,4.8819,64776,4.121,1.506,1.092,7.8125,0.780233
FP,1.371288853,1.4528,0.953,0.009465,2.59,66.2,4.378,1.108,1.066,5.484693878,0.962465
FP,1.71659304,1.154,0.1534,0.010881,11.37,138,4.467,0.987,1.037,2.873030584,0.164281
Confirmed,6.10027621,4.7476,0.015,0.025279,10.081,766.6,4.506,0.937,1.026,1.764234162,0.040279
FP,1.54038914,1.683,0.043,0.007768,7.07,71.8,4.422,0.989,0.944,6.762295082,0.050768
Confirmed,2.20923119,2.392,0.11,0.007076,7.088,59.8,4.375,1.092,1.032,2.395964691,0.117076
FP,5.81289843,3.979,0.499,0.008221,9.8,76.3,4.41,1.041,1.013,0.5567928731,0.507221
FP,241.647602,1.742,0.0404,0.017411,1077,361.7,4.445,0.989,0.994,1.361867704,0.057811
Confirmed,8.7348852,4.49,0.314,0.015161,14.36,270.7,4.493,0.96,1.047,3.719357566,0.329161
Confirmed,3.749105745,1.9826,0.942,0.015686,5.56,182.6,4.447,0.983,0.987,2.117420597,0.957686
FP,0.890110752,0.8774,0.216,0.016162,7.72,321.5,4.628,0.711,0.815,23.63315697,0.232162
FP,11.9615433,3.129,0.576,0.019583,24.59,424.5,4.456,1.046,1.143,11.91191191,0.595583
FP,11.9613085,4.6414,0.616,0.601755,29.128,310680,4.587,0.785,0.878,14.76584022,1.217755
FP,2.89494709,3.254,0.191,0.006304,6.742,45.8,4.137,1.684,1.418,28.95622896,0.197304
Confirmed,161.5278347,3.6734,0,0.061844,356.7,4653.6,4.285,1.213,1.033,2.417962003,0.061844
FP,6.2141496,10.141,0.403,0.0124,4.4,183.4,3.617,3.152,1.501,33.33333333,0.4154
FP,1.077467951,2.1125,1.181,0.188607,1.289,75.7,4.137,1.508,1.135,11.17824773,1.369607
FP,1.077467951,2.1125,1.181,0.188607,1.289,75.7,4.137,1.508,1.135,11.17824773,1.369607
FP,24.1876477,2.654,1.8212,0.830494,12.97,194.8,4.273,1.31,1.175,14.34034417,2.651694
Confirmed,8.18739443,3.0472,0.377,0.020743,19.48,517.6,4.494,0.849,0.821,22.72727273,0.397743
Confirmed,8.18739443,3.0472,0.377,0.020743,19.48,517.6,4.494,0.849,0.821,22.72727273,0.397743
FP,1.05569286,1.289,0.131,0.005479,6.27,37.5,4.561,0.751,0.748,34.71121178,0.136479
Confirmed,25.93406406,4.6142,0.014,0.018556,43.73,414.5,4.287,1.225,1.059,4.861111111,0.032556
Confirmed,25.93406406,4.6142,0.014,0.018556,43.73,414.5,4.287,1.225,1.059,4.861111111,0.032556
FP,0.97430309,2.1088,1.169,0.438332,3.219,34976,4.583,0.786,0.87,15.79241071,1.607332
FP,204.280255,37.2,0.875,0.11318,28.9,10579,4.582,0.727,0.737,36.70490094,0.98818
FP,0.643703667,0.801,0.036,0.012176,6.238,172,4.362,1.114,1.038,2.92942743,0.048176
FP,0.941603153,1.1886,0.93,0.025036,2.78,462.1,4.481,0.837,0.774,30.15151515,0.955036
FP,5.499941793,11.3096,0.531,0.208384,4.1161,47751,3.827,2.634,1.695,40.86021505,0.739384
FP,2.629870555,6.606,0.705,0.322419,3.53573,101310,4.382,0.967,0.822,22.55225523,1.027419
FP,2.62982665,6.213,1.077,0.088706,1.2,126.4,4.053,1.846,1.411,28.57142857,1.165706
FP,0.686994057,3.5252,1.261,0.323275,1.416,2797.1,4.438,1,1,0.8,1.584275
FP,361.43653,9.08,0.2175,0.015211,301.6,271.9,4.398,0.938,0.802,25.61728395,0.232711
FP,6.62761199,6.15281,0.753,0.563514,11.326,227140,4.231,1.333,1.102,8.602150538,1.316514
Confirmed,71.52543938,5.9189,0.066,0.06781,98.388,5904.3,4.542,0.778,0.769,31.04715248,0.13381
Confirmed,14.07969236,1.375,0.544,0.012317,66.8,169.5,4.097,1.547,1.092,7.796610169,0.556317
Confirmed,17.27629668,3.94738,0.085,0.090661,36.36,10458,4.599,0.738,0.79,27.5826972,0.175661
FP,420.9292036,17.3985,1.033,0.480108,195.95,86013,4.319,1.197,1.086,7.109004739,1.513108
Confirmed,3.553831111,3.1029,0.74,0.013709,6.12,191.8,4.37,1.081,0.998,1.012658228,0.753709
Confirmed,3.553831111,3.1029,0.74,0.013709,6.12,191.8,4.37,1.081,0.998,1.012658228,0.753709
FP,1.257689465,0.8399,0.197,0.028494,11.564,945.6,4.571,0.787,0.84,19.96517702,0.225494
Confirmed,16.22378479,2.5462,0.413,0.014927,45.1,262.3,4.46,0.925,0.9,11.96130167,0.427927
Confirmed,30.4544418,6.896,0.929,0.0242,14.59,472.1,4.472,0.984,1.047,3.73066424,0.9532
FP,5.95077813,5.6,0.881,0.030058,4.43,761.8,2.886,9.828,2.707,66.66666667,0.911058
FP,1.129848432,2.07578,1.042,0.154904,2.336,4658.5,2.984,7.102,1.775,40,1.196904
FP,28.59788033,7.71925,0.356,0.274826,34.655,85952,3.787,2.474,1.368,25.55555556,0.630826
FP,2.67596808,2.021,0.115,0.018071,10.249,420.6,4.53,0.795,0.78,29.18814433,0.133071
FP,0.502622858,3.085,0.693,0.011782,1.237,146,4.385,1.098,1.065,5.465838509,0.704782
FP,57.1143966,2.182,0.1765,0.015075,199.8,268.8,4.378,1.106,1.062,5.095541401,0.191575
FP,7.244778994,3.3873,0.522,0.298437,19.446,99147,4.586,0.788,0.882,14.19855796,0.820437
FP,7.244778994,3.3873,0.522,0.298437,19.446,99147,4.586,0.788,0.882,14.19855796,0.820437
FP,7.24476126,2.3145,0.04,0.006839,24.06,58,4.494,0.874,0.869,15.89861751,0.046839
FP,7.24476126,2.3145,0.04,0.006839,24.06,58,4.494,0.874,0.869,15.89861751,0.046839
FP,4.029810359,3.3316,0.45,0.009822,8.38,111.1,4.055,1.651,1.127,10.4,0.459822
FP,4.029803201,4.4301,0.17,0.404176,9.721,191070,4.385,1.078,1.028,2.070645554,0.574176
FP,15.2384539,19.292,0.74,0.082932,4.85,7019,4.419,1.086,1.129,10.66969353,0.822932
FP,30.47651885,10.2264,0.6,0.609498,34.0215,326630,4.315,1.073,0.867,16.23931624,1.209498
FP,30.47639859,17.9728,0.92,0.500513,15.396,130570,4.585,0.787,0.874,15.28165086,1.420513
FP,57.0599992,7.463,0.194,0.236723,71.34,66168,4.545,0.863,0.953,5.731625084,0.430723
FP,13.78252221,8.27762,0.718,0.573586,17.844,248940,4.604,0.668,0.653,54.26745778,1.291586
FP,4.20253859,5.389,0.937,0.006446,2.39,31.5,4.343,1.015,0.829,21.56368222,0.943446
Confirmed,10.57375145,1.7259,0.785,0.017524,30.3,298.9,4.4,1.08,1.067,5.548996458,0.802524
Confirmed,225.585245,11.166,0.066,0.024932,157.86,754.9,4.243,1.363,1.185,14.95726496,0.090932
FP,37.809539,7.547,0.03,0.019982,39.023,487.4,4.57,0.82,0.917,9.921828022,0.049982
FP,1.89121656,5.14,0.404,0.007594,2.68,66.8,4.438,0.884,0.781,29.00088417,0.411594
FP,0.995861402,1.1507,1.256,0.349278,3.51,4993.8,4.604,0.706,0.731,37.84304285,1.605278
Confirmed,6.770300385,2.0844,0.838,0.037414,15.21,1304,4.656,0.679,0.767,31.3877551,0.875414
